date,1. open,2. high,3. low,4. close,5. volume
2022-12-30,238.21,239.96,236.66,239.82,21938472.0
2022-12-29,235.65,241.92,235.65,241.01,19770693.0
2022-12-28,236.89,239.72,234.17,234.53,17457104.0
2022-12-27,238.7,238.93,235.83,236.96,16688648.0
2022-12-23,236.11,238.87,233.9428,238.73,21206982.0
2022-12-22,241.255,241.99,233.87,238.19,28651664.0
2022-12-21,241.69,245.615,240.11,244.43,23690607.0
2022-12-20,239.4,242.91,238.42,241.8,25150802.0
2022-12-19,244.86,245.21,238.71,240.45,29696436.0
2022-12-16,248.55,249.84,243.51,244.69,86101994.0
2022-12-15,253.72,254.2,247.34,249.01,35568093.0
2022-12-14,257.13,262.588,254.31,257.22,35410933.0
2022-12-13,261.69,263.915,253.07,256.92,42196884.0
2022-12-12,247.445,252.54,247.17,252.51,30665069.0
2022-12-09,244.695,248.31,244.16,245.42,20609743.0
2022-12-08,244.84,248.74,243.06,247.4,22611757.0
2022-12-07,244.83,246.16,242.205,244.37,20481522.0
2022-12-06,250.82,251.86,243.78,245.12,22463727.0
2022-12-05,252.01,253.819,248.06,250.2,23435294.0
2022-12-02,249.82,256.06,249.69,255.02,21528520.0
2022-12-01,253.87,256.12,250.9156,254.69,26041524.0
2022-11-30,240.57,255.33,239.86,255.14,47594239.0
2022-11-29,241.4,242.79,238.21,240.33,17956313.0
2022-11-28,246.08,246.65,240.8,241.76,24810271.0
2022-11-25,247.31,248.7,246.73,247.49,9200772.0
2022-11-23,245.105,248.28,244.27,247.58,19508462.0
2022-11-22,243.59,245.31,240.71,245.03,19665699.0
2022-11-21,241.43,244.67,241.19,242.05,26394700.0
2022-11-18,243.51,243.74,239.03,241.22,27613523.0
2022-11-17,237.78,243.25,237.63,241.68,23123544.0
2022-11-16,242.79,243.8,240.42,241.73,24093272.0
2022-11-15,245.66,247.0,240.03,241.97,31390117.0
2022-11-14,241.985,243.91,239.21,241.55,31123340.0
2022-11-11,242.99,247.99,241.93,247.11,34620246.0
2022-11-10,235.43,243.33,235.0,242.98,46268021.0
2022-11-09,227.37,228.6327,224.33,224.51,27852910.0
2022-11-08,228.7,231.65,225.84,228.87,28192548.0
2022-11-07,221.99,228.41,221.28,227.87,33497979.0
2022-11-04,217.55,221.59,213.431,221.39,36789063.0
2022-11-03,220.09,220.41,213.98,214.25,36633922.0
2022-11-02,229.46,231.3,220.04,220.1,38407008.0
2022-11-01,234.6,235.74,227.325,228.17,30592271.0
2022-10-31,233.76,234.92,231.15,232.13,28357265.0
2022-10-28,226.24,236.6,226.05,235.87,40647724.0
2022-10-27,231.04,233.69,225.78,226.75,40424645.0
2022-10-26,231.17,238.3,230.06,231.32,82684846.0
2022-10-25,247.26,251.04,245.83,250.66,34775505.0
2022-10-24,243.76,247.84,241.295,247.25,24911212.0
2022-10-21,234.74,243.0,234.5,242.12,26299733.0
2022-10-20,235.77,241.31,234.87,236.15,21811015.0
2022-10-19,237.04,239.61,234.29,236.48,19985698.0
2022-10-18,243.24,243.93,235.37,238.5,26329591.0
2022-10-17,235.82,238.96,235.135,237.53,28142268.0
2022-10-14,235.54,237.24,228.34,228.56,30198588.0
2022-10-13,219.85,236.1,219.13,234.24,42551818.0
2022-10-12,225.4,227.86,223.96,225.75,21903937.0
2022-10-11,227.62,229.06,224.11,225.41,30473954.0
2022-10-10,233.05,234.559,226.73,229.25,29743608.0
2022-10-07,240.902,241.32,233.17,234.24,37769602.0
2022-10-06,247.93,250.34,246.08,246.79,20239886.0
2022-10-05,245.99,250.58,244.1,249.2,20347136.0
2022-10-04,245.09,250.36,244.975,248.88,34888416.0
2022-10-03,235.41,241.61,234.66,240.74,28880357.0
2022-09-30,238.29,240.54,232.73,232.9,35694832.0
2022-09-29,238.89,239.95,234.41,237.5,27484233.0
2022-09-28,236.81,242.33,234.73,241.07,29029679.0
2022-09-27,239.98,241.8,234.5,236.41,27018732.0
2022-09-26,237.045,241.45,236.9,237.45,27694190.0
2022-09-23,239.54,241.13,235.2,237.92,34176048.0
2022-09-22,237.8704,243.86,237.57,240.98,30927092.0
2022-09-21,244.27,247.66,238.9,238.95,28625557.0
2022-09-20,242.065,243.51,239.64,242.45,26660299.0
2022-09-19,242.465,245.14,240.85,244.52,26826931.0
2022-09-16,244.26,245.3,242.0627,244.74,39791768.0
